"air_temperature","sea_temperature","station"
7.383,8.562,M2
7.285,8.575,M2
7.188,8.566,M2
7.285,8.56,M2
7.139,8.56,M2
7.188,8.546,M2
7.236,8.553,M2
7.188,8.533,M2
7.432,8.536,M2
7.432,8.546,M2
7.432,8.582,M2
7.285,8.622,M2
7.188,8.632,M2
7.236,8.593,M2
7.383,8.571,M2
7.285,8.54,M2
7.432,8.525,M2
7.676,8.573,M2
8.018,8.626,M2
8.262,8.588,M2
8.115,8.544,M2
7.627,8.522,M2
7.432,8.536,M2
7.334,8.553,M2
7.334,8.566,M2
7.236,8.591,M2
7.285,8.588,M2
7.334,8.582,M2
7.285,8.591,M2
7.432,8.613,M2
7.529,8.621,M2
7.529,8.582,M2
7.725,8.577,M2
7.969,8.681,M2
8.018,8.687,M2
8.555,8.648,M2
8.701,8.547,M2
8.75,8.608,M2
8.799,8.628,M2
9.189,8.624,M2
9.434,8.624,M2
8.994,8.641,M2
8.896,8.626,M2
8.848,8.586,M2
9.092,8.643,M2
9.141,8.729,M2
8.994,8.707,M2
8.652,8.696,M2
8.555,8.694,M2
8.652,8.6,M2
8.75,8.586,M2
8.408,8.619,M2
8.164,8.624,M2
7.822,8.637,M2
7.871,8.626,M2
7.236,8.586,M2
7.188,8.747,M2
7.285,8.829,M2
7.285,8.86,M2
7.383,8.84,M2
7.627,8.765,M2
7.773,8.701,M2
7.969,8.6,M2
8.213,8.661,M2
8.066,8.655,M2
7.969,8.644,M2
8.018,8.635,M2
8.164,8.633,M2
8.213,8.725,M2
7.822,8.798,M2
7.383,8.806,M2
6.895,8.725,M2
6.748,8.674,M2
6.65,8.608,M2
6.504,8.606,M2
6.455,8.633,M2
6.357,8.644,M2
6.406,8.635,M2
6.26,8.617,M2
6.016,8.626,M2
6.357,8.738,M2
6.504,8.831,M2
6.943,8.864,M2
7.285,8.848,M2
7.627,8.727,M2
7.822,8.674,M2
7.92,8.67,M2
8.018,8.659,M2
7.822,8.67,M2
7.725,8.655,M2
7.578,8.643,M2
7.285,8.63,M2
7.236,8.635,M2
7.09,8.727,M2
6.992,8.769,M2
6.895,8.754,M2
6.748,8.639,M2
6.748,8.65,M2
6.699,8.624,M2
6.699,8.622,M2
6.699,8.622,M2
6.797,8.628,M2
6.943,8.633,M2
6.943,8.654,M2
6.748,8.665,M2
6.65,8.749,M2
6.846,8.853,M2
6.895,8.826,M2
7.139,8.707,M2
7.383,8.703,M2
7.383,8.681,M2
7.432,8.657,M2
7.48,8.648,M2
7.529,8.637,M2
7.627,8.643,M2
7.725,8.643,M2
7.822,8.654,M2
7.676,8.666,M2
7.529,8.677,M2
7.432,8.672,M2
7.285,8.676,M2
7.09,8.663,M2
6.895,8.65,M2
6.748,8.624,M2
6.748,8.611,M2
6.699,8.628,M2
6.846,8.65,M2
6.748,8.679,M2
6.992,8.73,M2
6.748,8.696,M2
6.797,8.74,M2
6.699,8.745,M2
6.65,8.71,M2
6.943,8.699,M2
7.139,8.672,M2
7.285,8.639,M2
7.334,8.637,M2
7.334,8.624,M2
7.48,8.63,M2
7.432,8.639,M2
7.285,8.668,M2
7.139,8.687,M2
7.041,8.69,M2
6.65,8.692,M2
6.357,8.676,M2
5.869,8.644,M2
5.918,8.639,M2
5.527,8.615,M2
5.479,8.617,M2
5.479,8.613,M2
5.527,8.63,M2
5.332,8.641,M2
5.527,8.668,M2
5.43,8.69,M2
5.625,8.699,M2
6.162,8.714,M2
6.455,8.705,M2
6.699,8.676,M2
7.09,8.648,M2
7.578,8.615,M2
7.334,8.61,M2
7.09,8.608,M2
6.699,8.617,M2
5.967,8.633,M2
5.479,8.654,M2
5.186,8.665,M2
5.479,8.679,M2
5.771,8.67,M2
5.869,8.643,M2
5.82,8.604,M2
6.064,8.582,M2
6.455,8.582,M2
6.943,8.597,M2
7.48,8.621,M2
8.164,8.646,M2
8.701,8.701,M2
9.043,8.716,M2
9.141,8.745,M2
9.092,8.747,M2
9.189,8.745,M2
9.531,8.747,M2
9.629,8.685,M2
9.287,8.648,M2
9.238,8.633,M2
9.189,8.633,M2
9.141,8.643,M2
9.141,8.679,M2
9.043,8.729,M2
9.043,8.734,M2
8.994,8.749,M2
8.945,8.749,M2
9.238,8.745,M2
9.287,8.734,M2
9.336,8.666,M2
9.434,8.628,M2
9.482,8.626,M2
9.531,8.633,M2
9.141,8.648,M2
9.336,8.725,M2
9.189,8.727,M2
9.092,8.741,M2
8.994,8.747,M2
9.043,8.743,M2
