"temperature","feels_like","humidity","time","location"
24.0,24.02,60.0,"2021-01-01 08:45:00",Fernanda's Room
19.0,18.47,58.0,"2021-01-01 09:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 09:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 09:00:00",Guest Room
25.0,25.1,59.0,"2021-01-01 09:00:00",Fernanda's Room
19.0,18.47,58.0,"2021-01-01 09:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 09:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 09:15:00",Guest Room
25.0,25.1,59.0,"2021-01-01 09:15:00",Fernanda's Room
19.0,18.44,57.0,"2021-01-01 09:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 09:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 09:30:00",Guest Room
25.0,25.1,59.0,"2021-01-01 09:30:00",Fernanda's Room
19.0,18.44,57.0,"2021-01-01 09:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 09:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 09:45:00",Guest Room
25.0,25.1,59.0,"2021-01-01 09:45:00",Fernanda's Room
19.0,18.47,58.0,"2021-01-01 10:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 10:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 10:00:00",Guest Room
25.0,25.1,59.0,"2021-01-01 10:00:00",Fernanda's Room
19.0,18.44,57.0,"2021-01-01 10:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 10:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 10:15:00",Guest Room
25.0,25.1,59.0,"2021-01-01 10:15:00",Fernanda's Room
19.0,18.47,58.0,"2021-01-01 10:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 10:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 10:30:00",Guest Room
25.0,25.1,59.0,"2021-01-01 10:30:00",Fernanda's Room
19.0,18.5,59.0,"2021-01-01 10:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 10:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 10:45:00",Guest Room
26.0,26.89,59.0,"2021-01-01 10:45:00",Fernanda's Room
20.0,19.6,59.0,"2021-01-01 11:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 11:00:00",Kids Room
